game_id,date,home_score,away_score,home_win
778389,2025-04-09,2,1,1
778390,2025-04-09,0,5,0
778387,2025-04-09,3,4,0
778385,2025-04-09,2,6,0
778381,2025-04-09,1,2,0
778380,2025-04-09,9,0,1
778376,2025-04-09,8,6,1
778392,2025-04-09,5,6,0
778383,2025-04-09,7,6,1
778391,2025-04-09,3,2,1
778386,2025-04-09,1,2,0
778399,2025-04-09,5,4,1
778393,2025-04-09,3,4,0
778388,2025-04-09,0,4,0
778379,2025-04-09,2,17,0
778382,2025-04-10,1,11,0
778378,2025-04-10,6,1,1
778373,2025-04-10,3,2,1
778371,2025-04-10,7,2,1
778377,2025-04-10,4,3,1
778384,2025-04-10,4,2,1
778375,2025-04-11,7,0,1
778374,2025-04-11,5,3,1
778367,2025-04-11,6,3,1
778370,2025-04-11,1,9,0
778369,2025-04-11,4,7,0
778366,2025-04-11,11,1,1
778368,2025-04-11,14,3,1
778363,2025-04-11,6,7,0
778365,2025-04-11,2,0,1
778361,2025-04-11,8,0,1
778360,2025-04-11,5,3,1
778364,2025-04-11,0,7,0
778358,2025-04-11,6,7,0
778356,2025-04-11,3,0,1
778348,2025-04-12,0,4,0
778347,2025-04-12,1,4,0
778355,2025-04-12,8,4,1
778346,2025-04-12,3,1,1
778362,2025-04-12,5,4,1
778353,2025-04-12,4,5,0
778349,2025-04-12,3,2,1
778354,2025-04-12,7,6,1
778359,2025-04-12,6,3,1
778357,2025-04-12,5,2,1
778351,2025-04-12,1,4,0
778350,2025-04-12,5,4,1
778352,2025-04-12,2,0,1
778345,2025-04-12,0,16,0
778341,2025-04-12,9,2,1
778344,2025-04-13,6,7,0
778339,2025-04-13,4,5,0
778342,2025-04-13,2,4,0
778343,2025-04-13,4,0,1
778340,2025-04-13,8,3,1
778337,2025-04-13,11,4,1
778329,2025-04-13,7,3,1
778335,2025-04-13,5,1,1
778338,2025-04-13,1,3,0
778336,2025-04-13,7,0,1
778333,2025-04-13,0,8,0
778330,2025-04-13,6,0,1
778334,2025-04-13,3,1,1
778332,2025-04-13,5,2,1
778331,2025-04-13,2,4,0
778321,2025-04-14,10,3,1
778320,2025-04-14,4,10,0
778328,2025-04-14,16,1,1
778327,2025-04-14,4,1,1
778322,2025-04-14,4,8,0
778324,2025-04-14,1,5,0
778323,2025-04-14,1,9,0
778325,2025-04-14,8,3,1
778315,2025-04-14,10,4,1
778326,2025-04-14,5,3,1
778314,2025-04-15,0,3,0
778316,2025-04-15,8,4,1
778318,2025-04-15,4,10,0
778313,2025-04-15,6,4,1
778317,2025-04-15,3,6,0
778319,2025-04-15,4,7,0
778312,2025-04-15,4,2,1
778311,2025-04-15,6,3,1
778307,2025-04-15,6,3,1
778309,2025-04-15,3,12,0
778310,2025-04-15,5,0,1
778308,2025-04-15,0,2,0
778306,2025-04-15,4,0,1
778305,2025-04-15,1,2,0
778302,2025-04-15,6,2,1
778297,2025-04-16,3,1,1
778299,2025-04-16,4,3,1
778295,2025-04-16,5,1,1
778290,2025-04-16,4,1,1
778288,2025-04-16,4,2,1
778301,2025-04-16,9,1,1
778293,2025-04-16,6,1,1
778304,2025-04-16,3,5,0
778303,2025-04-16,2,6,0
778296,2025-04-16,4,11,0
778298,2025-04-16,0,1,0
778300,2025-04-16,4,3,1
778294,2025-04-16,1,3,0
778289,2025-04-16,3,1,1
778287,2025-04-16,8,7,1
778291,2025-04-17,4,6,0
778280,2025-04-17,1,0,1
778285,2025-04-17,7,11,0
778283,2025-04-17,0,8,0
778279,2025-04-17,6,4,1
778292,2025-04-17,6,2,1
778286,2025-04-17,6,1,1
778282,2025-04-17,3,6,0
778278,2025-04-17,4,1,1
778281,2025-04-17,5,3,1
