commence_time,home_team,away_team,bookmaker,team,price
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,FanDuel,Cincinnati Reds,128
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,FanDuel,Miami Marlins,-164
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,MyBookie.ag,Cincinnati Reds,150
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,MyBookie.ag,Miami Marlins,-200
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,DraftKings,Cincinnati Reds,133
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,DraftKings,Miami Marlins,-174
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,BetMGM,Cincinnati Reds,135
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,BetMGM,Miami Marlins,-170
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,BetRivers,Cincinnati Reds,125
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,BetRivers,Miami Marlins,-175
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,Bovada,Cincinnati Reds,165
2026-04-09T16:11:00Z,Miami Marlins,Cincinnati Reds,Bovada,Miami Marlins,-220
2026-04-09T17:36:00Z,New York Yankees,Athletics,FanDuel,Athletics,158
2026-04-09T17:36:00Z,New York Yankees,Athletics,FanDuel,New York Yankees,-188
2026-04-09T17:36:00Z,New York Yankees,Athletics,LowVig.ag,Athletics,169
2026-04-09T17:36:00Z,New York Yankees,Athletics,LowVig.ag,New York Yankees,-188
2026-04-09T17:36:00Z,New York Yankees,Athletics,BetOnline.ag,Athletics,169
2026-04-09T17:36:00Z,New York Yankees,Athletics,BetOnline.ag,New York Yankees,-188
2026-04-09T17:36:00Z,New York Yankees,Athletics,DraftKings,Athletics,159
2026-04-09T17:36:00Z,New York Yankees,Athletics,DraftKings,New York Yankees,-194
2026-04-09T17:36:00Z,New York Yankees,Athletics,BetMGM,Athletics,165
2026-04-09T17:36:00Z,New York Yankees,Athletics,BetMGM,New York Yankees,-200
2026-04-09T17:36:00Z,New York Yankees,Athletics,BetRivers,Athletics,165
2026-04-09T17:36:00Z,New York Yankees,Athletics,BetRivers,New York Yankees,-215
2026-04-09T17:36:00Z,New York Yankees,Athletics,BetUS,Athletics,165
2026-04-09T17:36:00Z,New York Yankees,Athletics,BetUS,New York Yankees,-188
2026-04-09T17:36:00Z,New York Yankees,Athletics,Bovada,Athletics,162
2026-04-09T17:36:00Z,New York Yankees,Athletics,Bovada,New York Yankees,-197
2026-04-09T17:36:00Z,New York Yankees,Athletics,MyBookie.ag,Athletics,162
2026-04-09T17:36:00Z,New York Yankees,Athletics,MyBookie.ag,New York Yankees,-192
2026-04-09T17:41:00Z,Minnesota Twins,Detroit Tigers,FanDuel,Detroit Tigers,-132
2026-04-09T17:41:00Z,Minnesota Twins,Detroit Tigers,FanDuel,Minnesota Twins,112
2026-04-09T17:41:00Z,Minnesota Twins,Detroit Tigers,MyBookie.ag,Detroit Tigers,-133
2026-04-09T17:41:00Z,Minnesota Twins,Detroit Tigers,MyBookie.ag,Minnesota Twins,113
2026-04-09T17:41:00Z,Minnesota Twins,Detroit Tigers,LowVig.ag,Detroit Tigers,-132
